product_id;brand;model;category;color;size;base_price;is_best_seller
P001;Reebok;Air;Trail;Electric Blue;42;85,0;False
P002;Reebok;Pro;Trail;Premium Black;30;85,0;False
P003;Puma;Max;Running;Classic Grey;32;144,9;True
P004;Reebok;Max;Limited Edition;Black;33;219,0;False
P005;Adidas;Zoom;Casual;Black;37;174,9;True
P006;Puma;Max;Casual;Pink;36;159,0;False
P007;Nike;Elite;Basketball;Classic Grey;43;152,9;True
P008;Reebok;Flex;Limited Edition;Premium Black;33;236,5;True
P009;Puma;Flex;Casual;Sunny Yellow;34;139,0;False
P010;New Balance;Flex;Running;Red Blood;42;145,0;False
P011;Adidas;Air;Limited Edition;Sunny Yellow;39;255,0;False
P012;Reebok;Max;Limited Edition;Premium Black;38;279,0;False
P013;Nike;Zoom;Limited Edition;Deep Blue;38;190,0;False
P014;Reebok;Zoom;Basketball;Sunny Yellow;36;60,0;False
P015;Puma;Pro;Running;Sunny Yellow;30;30,0;False
P016;Nike;Pro;Running;Black;38;85,0;False
P017;Asics;Max;Limited Edition;Gold;44;215,0;False
P018;Jordans;Zoom;Casual;White;39;60,0;False
P019;Adidas;Flex;Basketball;Sunny Yellow;44;145,0;False
P020;Adidas;Zoom;Trail;Deep Purple;39;159,0;False
P021;Nike;Air;Running;Red Blood;32;139,0;False
P022;Jordans;Elite;Basketball;Brown Bear;36;85,0;False
P023;Nike;Pro;Trail;Electric Blue;33;55,0;False
P024;Nike;Flex;Basketball;Red Blood;34;99,0;False
P025;Puma;Flex;Casual;White;32;139,0;False
P026;Asics;Flex;Casual;Sunny Yellow;43;129,0;False
P027;Asics;Pro;Basketball;Gold;40;174,9;True
P028;Adidas;Pro;Casual;Red Blood;36;129,0;False
P029;Reebok;Max;Running;Sunny Yellow;34;219,0;False
P030;New Balance;Elite;Casual;Sunny Yellow;30;56,9;True
P031;New Balance;Flex;Casual;Brown Bear;42;145,0;False
P032;Reebok;Max;Basketball;Electric Blue;38;249,0;False
P033;Nike;Zoom;Basketball;Deep Purple;44;209,0;True
P034;New Balance;Zoom;Basketball;Premium Black;39;159,0;False
P035;New Balance;Zoom;Basketball;Pink;37;129,0;False
P036;Asics;Elite;Basketball;Black;43;121,0;True
P037;New Balance;Elite;Running;Premium Black;41;109,0;False
P038;Asics;Elite;Casual;Sunny Yellow;45;110,0;False
P039;Puma;Zoom;Limited Edition;Brown Bear;45;209,0;True
P040;New Balance;Air;Running;Deep Purple;43;139,0;False
