customer_id;genre;age;profile;favorite_brand;has_loyalty_card;loyalty_points
C0001;F;36;chasseur_de_promos;;True;336
C0002;F;42;chasseur_de_promos;;True;291
C0003;M;57;impulsif;;False;0
C0004;M;57;chasseur_de_promos;;False;200
C0005;F;28;chasseur_de_promos;;True;278
C0006;M;44;fidèle_marque;New Balance;True;210
C0007;F;45;fidèle_marque;Jordans;True;57
C0008;F;42;impulsif;;True;82
C0009;F;45;chasseur_de_promos;;True;214
C0010;M;37;fidèle_marque;New Balance;True;105
C0011;M;46;impulsif;;False;0
C0012;M;38;impulsif;;False;0
C0013;F;32;impulsif;;True;216
C0014;F;40;fidèle_marque;Asics;True;111
C0015;F;34;fidèle_marque;New Balance;True;175
C0016;M;37;impulsif;;False;0
C0017;M;40;impulsif;;False;0
C0018;M;36;chasseur_de_promos;;True;386
C0019;F;48;fidèle_marque;Asics;True;61
C0020;F;38;impulsif;;False;0
C0021;F;46;sneakerhead;;True;119
C0022;M;34;sneakerhead;;True;39
C0023;M;35;impulsif;;False;0
C0024;F;39;impulsif;;True;78
C0025;M;64;fidèle_marque;Nike;False;0
C0026;M;50;sneakerhead;;True;151
C0027;F;31;chasseur_de_promos;;True;315
C0028;M;35;impulsif;;False;0
C0029;M;46;sneakerhead;;True;165
C0030;M;32;fidèle_marque;Asics;True;24
C0031;M;53;sneakerhead;;True;225
C0032;F;37;chasseur_de_promos;;True;397
C0033;M;30;fidèle_marque;Puma;False;0
C0034;F;29;impulsif;;False;0
C0035;M;51;chasseur_de_promos;;True;394
C0036;M;36;impulsif;;True;192
C0037;F;41;fidèle_marque;Adidas;True;10
C0038;M;33;impulsif;;True;141
C0039;F;47;fidèle_marque;Adidas;True;160
C0040;M;50;chasseur_de_promos;;True;260
C0041;F;32;chasseur_de_promos;;False;200
C0042;F;46;sneakerhead;;True;189
C0043;F;60;impulsif;;True;129
C0044;F;26;sneakerhead;;True;49
C0045;M;38;sneakerhead;;False;0
C0046;M;48;chasseur_de_promos;;True;298
C0047;M;62;sneakerhead;;True;43
C0048;F;29;chasseur_de_promos;;True;241
C0049;M;42;sneakerhead;;True;27
C0050;F;23;chasseur_de_promos;;True;251
C0051;F;50;chasseur_de_promos;;True;236
C0052;F;41;fidèle_marque;Puma;True;96
C0053;F;40;impulsif;;False;0
C0054;M;33;impulsif;;False;0
C0055;F;68;sneakerhead;;True;108
C0056;M;29;impulsif;;True;155
C0057;M;46;sneakerhead;;True;122
C0058;M;29;sneakerhead;;True;166
C0059;F;39;impulsif;;False;0
C0060;F;25;impulsif;;True;154
C0061;M;42;sneakerhead;;False;0
C0062;M;52;sneakerhead;;True;204
C0063;F;59;impulsif;;True;96
C0064;M;29;chasseur_de_promos;;False;200
C0065;M;29;fidèle_marque;Puma;True;99
C0066;M;35;impulsif;;True;122
C0067;M;26;fidèle_marque;New Balance;True;11
C0068;F;41;fidèle_marque;New Balance;False;0
C0069;M;49;fidèle_marque;Jordans;True;62
C0070;F;40;sneakerhead;;True;83
C0071;M;29;fidèle_marque;Jordans;True;2
C0072;F;38;fidèle_marque;Reebok;True;164
C0073;F;30;chasseur_de_promos;;True;274
C0074;F;31;chasseur_de_promos;;True;386
C0075;M;48;chasseur_de_promos;;False;200
C0076;M;66;chasseur_de_promos;;True;198
C0077;F;61;impulsif;;True;80
C0078;F;34;impulsif;;False;0
C0079;M;38;impulsif;;False;0
C0080;M;33;fidèle_marque;Asics;True;154
C0081;M;34;chasseur_de_promos;;False;200
C0082;M;44;fidèle_marque;Adidas;False;0
