product_id;product_kind;brand;model;category;color;size;base_price;is_best_seller
P001;shoe;Adidas;Pro;Running;Deep Purple;41;169;false
P002;shoe;Puma;Zoom;Basketball;Pink;39;118,8;true
P003;shoe;Nike;Max;Running;Classic Grey;37;129;false
P004;shoe;Reebok;Pro;Casual;Premium Black;44;159;false
P005;shoe;Reebok;Air;Trail;White;32;85;false
P006;shoe;Adidas;Pro;Training;Pink;34;114;false
P007;shoe;Jordans;Flex;Training;Deep Blue;32;144;false
P008;shoe;Reebok;Max;Training;White;42;171,72;true
P009;shoe;Puma;Max;Basketball;Brown Bear;31;144;false
P010;shoe;Reebok;Elite;Casual;Pink;33;134;false
P011;shoe;Puma;Zoom;Basketball;Classic Grey;45;110;false
P012;shoe;Reebok;Air;Training;Black;31;58,32;true
P013;shoe;Puma;Flex;Basketball;Black;33;120;false
P014;shoe;Adidas;Zoom;Limited Edition;White;45;195;false
P015;shoe;Puma;Air;Basketball;Electric Blue;36;129;false
P016;shoe;New Balance;Flex;Running;Premium Black;42;159;false
P017;shoe;Reebok;Elite;Running;Classic Grey;45;139;false
P018;shoe;Adidas;Max;Trail;Electric Blue;37;145;false
P019;shoe;Reebok;Pro;Basketball;Light Green;33;85;false
P020;shoe;New Balance;Zoom;Limited Edition;Electric Blue;39;259;false
P021;shoe;Nike;Flex;Training;Red Blood;43;85;false
P022;shoe;Asics;Air;Trail;Red Blood;38;145;false
P023;shoe;Adidas;Max;Trail;Gold;36;105;false
P024;shoe;New Balance;Zoom;Trail;Classic Grey;40;110;false
P025;shoe;Nike;Air;Casual;Red Blood;42;64,8;true
P026;shoe;Asics;Zoom;Casual;Deep Purple;37;159;false
P027;shoe;Puma;Zoom;Limited Edition;Red Blood;33;234;false
P028;shoe;Reebok;Air;Casual;Gold;32;164;false
P029;shoe;New Balance;Pro;Running;Deep Blue;41;79;false
P030;shoe;Adidas;Zoom;Basketball;Pink;38;145;false
P031;shoe;New Balance;Max;Trail;Electric Blue;38;145;false
P032;shoe;Asics;Flex;Trail;Sunny Yellow;36;60;false
P033;shoe;Asics;Air;Running;Gold;43;204,12;true
P034;shoe;Jordans;Flex;Trail;Pink;40;150,12;true
P035;shoe;Jordans;Elite;Casual;Red Blood;39;169;false
P036;shoe;Adidas;Zoom;Basketball;Brown Bear;45;79;false
P037;shoe;New Balance;Pro;Running;Light Green;42;79;false
P038;shoe;Puma;Elite;Limited Edition;Black;32;175;false
P039;shoe;Puma;Air;Training;Premium Black;45;149;false
P040;shoe;Jordans;Max;Running;Red Blood;31;54;false
P041;shoe;Jordans;Zoom;Running;Deep Purple;38;79;false
P042;shoe;Puma;Pro;Training;Red Blood;39;145;false
P043;shoe;New Balance;Flex;Training;Sunny Yellow;44;169;false
P044;shoe;Puma;Zoom;Limited Edition;Gold;38;301,32;true
P045;shoe;Reebok;Elite;Training;Brown Bear;33;114;false
P046;shoe;Puma;Flex;Trail;Deep Purple;38;169;false
P047;shoe;Nike;Zoom;Trail;Black;44;60;false
P048;shoe;Puma;Pro;Trail;Premium Black;39;179;false
P049;shoe;New Balance;Air;Basketball;Sunny Yellow;30;54;false
P050;shoe;Adidas;Max;Running;Pink;32;144;false
P051;shoe;Nike;Flex;Basketball;Pink;32;60;false
P052;shoe;New Balance;Pro;Training;Electric Blue;45;159;false
P053;shoe;Asics;Flex;Trail;Classic Grey;32;144;false
P054;shoe;Jordans;Air;Trail;Premium Black;37;178,2;true
P055;shoe;Jordans;Air;Casual;Brown Bear;45;156,6;true
P056;shoe;Puma;Max;Training;Deep Purple;31;60;false
P057;shoe;New Balance;Max;Training;Pink;33;114;false
P058;shoe;Jordans;Elite;Trail;Sunny Yellow;31;60;false
P059;shoe;Nike;Max;Limited Edition;Deep Purple;30;220,32;true
P060;shoe;Nike;Zoom;Limited Edition;Deep Blue;38;190;false
P061;shoe;Puma;Pro;Running;Pink;34;114;false
P062;shoe;Reebok;Zoom;Training;Gold;31;140;false
P063;shoe;Reebok;Elite;Basketball;Black;45;159;false
P064;shoe;Asics;Zoom;Trail;Brown Bear;33;60;false
P065;shoe;Asics;Air;Basketball;Pink;45;169;false
P066;shoe;Reebok;Elite;Running;Black;43;85;false
P067;shoe;Puma;Flex;Casual;Deep Blue;44;60;false
P068;shoe;Reebok;Pro;Casual;White;41;110;false
P069;shoe;Nike;Air;Limited Edition;White;42;190;false
P070;shoe;Nike;Max;Casual;Pink;40;85,32;true
P071;shoe;Puma;Pro;Training;Black;41;169;false
P072;shoe;Reebok;Flex;Trail;Premium Black;41;165;false
P073;shoe;Adidas;Air;Casual;Black;34;35;false
P074;shoe;Adidas;Pro;Running;Light Green;30;120;false
P075;shoe;New Balance;Zoom;Trail;Light Green;40;85,32;true
P076;shoe;Jordans;Zoom;Limited Edition;Deep Blue;33;175;false
