customer_id;genre;age;profile;favorite_brand;has_loyalty_card;loyalty_points
C0001;M;29;fidele_marque;Jordans;true;91
C0002;F;33;impulsif;;true;121
C0003;F;17;impulsif;;false;0
C0004;F;16;impulsif;;false;0
C0005;F;34;chasseur_de_promos;;true;170
C0006;F;55;chasseur_de_promos;;true;223
C0007;M;22;fidele_marque;Nike;true;110
C0008;M;36;sneakerhead;;true;150
C0009;M;59;fidele_marque;Nike;false;0
C0010;F;53;chasseur_de_promos;;true;172
C0011;F;19;fidele_marque;Nike;false;0
C0012;F;23;impulsif;;true;181
C0013;M;30;chasseur_de_promos;;true;280
C0014;F;16;sneakerhead;;true;82
C0015;F;30;fidele_marque;Reebok;true;123
C0016;F;52;sneakerhead;;true;67
C0017;M;34;chasseur_de_promos;;true;289
C0018;M;16;fidele_marque;Nike;true;51
C0019;M;18;sneakerhead;;true;84
C0020;F;35;chasseur_de_promos;;true;292
C0021;F;56;impulsif;;false;0
C0022;M;28;impulsif;;true;52
C0023;M;46;impulsif;;true;64
C0024;M;24;chasseur_de_promos;;true;173
C0025;M;32;impulsif;;false;0
C0026;F;16;chasseur_de_promos;;false;120
C0027;F;37;impulsif;;true;184
C0028;M;24;impulsif;;true;137
C0029;M;25;impulsif;;true;34
C0030;F;16;fidele_marque;Adidas;true;98
C0031;M;30;fidele_marque;Nike;true;125
C0032;F;24;sneakerhead;;true;82
C0033;F;38;fidele_marque;Adidas;true;155
C0034;M;41;impulsif;;false;0
C0035;M;44;fidele_marque;New Balance;true;220
C0036;F;51;sneakerhead;;true;28
C0037;M;16;sneakerhead;;true;210
C0038;M;16;sneakerhead;;true;136
C0039;M;44;chasseur_de_promos;;false;120
C0040;F;16;sneakerhead;;true;92
C0041;M;46;sneakerhead;;true;203
C0042;M;29;sneakerhead;;true;176
C0043;F;36;sneakerhead;;true;149
C0044;M;53;chasseur_de_promos;;true;299
C0045;F;25;fidele_marque;New Balance;false;0
C0046;M;30;fidele_marque;Adidas;true;192
C0047;M;32;impulsif;;true;0
C0048;M;32;impulsif;;true;69
C0049;M;45;impulsif;;false;0
C0050;M;37;chasseur_de_promos;;true;122
C0051;M;27;impulsif;;true;16
C0052;F;19;fidele_marque;Asics;true;7
C0053;M;51;fidele_marque;Nike;false;0
C0054;F;22;sneakerhead;;true;195
C0055;F;58;impulsif;;true;5
C0056;F;38;sneakerhead;;true;128
C0057;M;33;chasseur_de_promos;;false;120
C0058;F;18;chasseur_de_promos;;true;338
C0059;M;29;chasseur_de_promos;;true;275
C0060;M;33;sneakerhead;;true;180
C0061;M;27;impulsif;;false;0
C0062;M;38;fidele_marque;Asics;true;88
C0063;F;41;fidele_marque;Jordans;false;0
C0064;F;16;fidele_marque;Reebok;true;68
C0065;M;16;impulsif;;false;0
C0066;F;22;fidele_marque;Adidas;true;32
C0067;F;34;fidele_marque;Nike;true;43
C0068;F;65;sneakerhead;;true;159
C0069;M;47;sneakerhead;;false;0
C0070;F;50;impulsif;;false;0
C0071;M;23;fidele_marque;Reebok;true;176
C0072;M;41;impulsif;;true;207
C0073;F;22;sneakerhead;;false;0
C0074;F;19;chasseur_de_promos;;true;123
C0075;M;49;fidele_marque;Jordans;true;145
C0076;M;28;impulsif;;true;128
C0077;F;29;chasseur_de_promos;;true;149
C0078;F;41;sneakerhead;;true;177
C0079;F;38;fidele_marque;Jordans;true;24
C0080;F;47;fidele_marque;New Balance;false;0
C0081;F;16;fidele_marque;Reebok;false;0
C0082;F;44;impulsif;;false;0
C0083;F;39;sneakerhead;;false;0
C0084;M;43;impulsif;;false;0
C0085;M;30;chasseur_de_promos;;false;120
C0086;M;35;fidele_marque;Adidas;true;83
C0087;M;38;fidele_marque;Nike;false;0
C0088;F;16;sneakerhead;;true;6
C0089;M;31;chasseur_de_promos;;false;120
C0090;M;31;chasseur_de_promos;;true;221
C0091;F;39;chasseur_de_promos;;true;263
C0092;F;44;sneakerhead;;true;102
C0093;F;43;fidele_marque;Reebok;true;116
C0094;F;41;sneakerhead;;true;31
C0095;M;35;sneakerhead;;true;96
C0096;F;31;chasseur_de_promos;;true;340
C0097;F;21;fidele_marque;Nike;true;33
C0098;M;32;fidele_marque;Adidas;true;163
C0099;M;40;fidele_marque;Adidas;false;0
C0100;M;30;sneakerhead;;true;134
C0101;M;36;impulsif;;false;0
C0102;M;21;sneakerhead;;true;41
C0103;M;45;fidele_marque;Nike;true;76
C0104;M;50;fidele_marque;Jordans;false;0
C0105;F;39;sneakerhead;;true;174
C0106;M;38;impulsif;;false;0
C0107;M;22;impulsif;;false;0
C0108;M;49;chasseur_de_promos;;true;161
C0109;M;31;chasseur_de_promos;;true;268
C0110;M;36;fidele_marque;Asics;true;130
C0111;F;27;impulsif;;false;0
C0112;F;26;fidele_marque;Puma;true;134
C0113;M;28;chasseur_de_promos;;true;214
C0114;M;35;sneakerhead;;true;145
C0115;M;46;impulsif;;true;135
C0116;M;16;fidele_marque;Puma;true;91
C0117;M;48;impulsif;;true;123
C0118;F;40;fidele_marque;Nike;true;73
C0119;F;32;sneakerhead;;true;144
C0120;M;58;sneakerhead;;true;12
C0121;F;59;fidele_marque;Puma;false;0
C0122;F;16;sneakerhead;;true;70
C0123;F;30;impulsif;;false;0
C0124;M;44;impulsif;;true;196
C0125;F;28;impulsif;;true;138
C0126;M;35;sneakerhead;;true;111
C0127;F;26;sneakerhead;;true;13
C0128;M;40;chasseur_de_promos;;true;214
C0129;M;48;sneakerhead;;false;0
C0130;M;34;fidele_marque;Puma;false;0
C0131;M;52;fidele_marque;Nike;false;0
C0132;M;25;impulsif;;true;130
C0133;F;20;fidele_marque;Puma;false;0
C0134;M;16;chasseur_de_promos;;true;249
C0135;F;16;chasseur_de_promos;;true;193
C0136;F;31;fidele_marque;Asics;true;186
C0137;M;40;impulsif;;true;105
C0138;M;20;chasseur_de_promos;;true;297
C0139;F;20;impulsif;;false;0
C0140;M;28;fidele_marque;Nike;false;0
C0141;F;16;fidele_marque;New Balance;false;0
C0142;M;33;fidele_marque;Adidas;true;80
C0143;M;44;impulsif;;true;59
C0144;F;41;impulsif;;false;0
C0145;F;59;impulsif;;true;196
C0146;F;20;chasseur_de_promos;;true;206
C0147;M;37;fidele_marque;Puma;true;141
C0148;M;40;chasseur_de_promos;;true;314
C0149;M;47;impulsif;;false;0
C0150;F;58;sneakerhead;;true;112
C0151;F;50;sneakerhead;;false;0
C0152;F;29;fidele_marque;Reebok;true;74
C0153;M;16;sneakerhead;;true;123
C0154;F;38;chasseur_de_promos;;false;120
C0155;F;40;chasseur_de_promos;;false;120
C0156;M;37;fidele_marque;Reebok;true;178
C0157;F;16;sneakerhead;;true;169
C0158;F;31;fidele_marque;Jordans;true;38
C0159;F;43;chasseur_de_promos;;true;309
C0160;M;44;chasseur_de_promos;;true;287
C0161;F;42;impulsif;;false;0
C0162;F;24;fidele_marque;Jordans;true;107
C0163;F;58;chasseur_de_promos;;false;120
C0164;F;33;fidele_marque;Asics;true;165
C0165;F;21;impulsif;;false;0
C0166;F;40;sneakerhead;;false;0
C0167;M;28;fidele_marque;Asics;true;203
C0168;F;48;sneakerhead;;true;160
C0169;M;29;impulsif;;false;0
C0170;F;30;chasseur_de_promos;;true;241
C0171;M;36;chasseur_de_promos;;true;334
C0172;M;24;sneakerhead;;true;160
C0173;M;66;chasseur_de_promos;;false;120
C0174;M;28;chasseur_de_promos;;true;265
C0175;F;16;sneakerhead;;true;139
C0176;M;33;chasseur_de_promos;;false;120
C0177;M;36;chasseur_de_promos;;false;120
C0178;F;35;sneakerhead;;true;0
C0179;F;37;sneakerhead;;true;44
C0180;F;28;impulsif;;false;0
C0181;F;23;impulsif;;false;0
C0182;F;40;impulsif;;false;0
C0183;F;37;chasseur_de_promos;;false;120
C0184;F;25;fidele_marque;Reebok;true;48
C0185;M;32;chasseur_de_promos;;true;223
C0186;M;50;impulsif;;false;0
C0187;F;22;chasseur_de_promos;;false;120
C0188;M;38;fidele_marque;Puma;true;18
C0189;F;32;fidele_marque;Nike;true;157
C0190;F;22;sneakerhead;;true;35
C0191;F;32;chasseur_de_promos;;true;158
C0192;M;47;chasseur_de_promos;;true;266
C0193;M;27;fidele_marque;New Balance;true;31
C0194;M;32;impulsif;;false;0
C0195;M;34;chasseur_de_promos;;true;315
C0196;F;32;chasseur_de_promos;;true;152
C0197;F;22;chasseur_de_promos;;false;120
C0198;F;28;fidele_marque;Puma;true;157
C0199;M;16;chasseur_de_promos;;true;214
C0200;M;54;fidele_marque;New Balance;true;102
C0201;M;22;fidele_marque;Reebok;true;158
C0202;M;40;chasseur_de_promos;;true;305
C0203;M;26;sneakerhead;;true;147
C0204;F;16;fidele_marque;Reebok;false;0
C0205;M;27;fidele_marque;Reebok;false;0
C0206;F;31;chasseur_de_promos;;false;120
C0207;M;21;impulsif;;true;86
C0208;F;16;chasseur_de_promos;;false;120
C0209;M;42;impulsif;;false;0
C0210;F;34;impulsif;;false;0
C0211;M;40;impulsif;;true;38
C0212;F;40;fidele_marque;Jordans;true;141
C0213;M;51;sneakerhead;;true;163
C0214;M;27;chasseur_de_promos;;false;120
