year_month;store_id;rent_month;service_charges;utilities;cleaning;insurance;maintenance;software_it;security;gross_payroll;employer_contrib;payment_fees;local_marketing;shrinkage;cfe_month;loyalty_future_cost;loyalty_discount_ttc;total_store_cost;ca_ttc;ca_ht;nb_lines
2024-01;S01;2646,02;317,52;417,44;191;122,08;86;244;0;14471;4567,37;93,7;90;44,68;65;110,68;306,7;23466,49;22339,56;18616,27;229
2024-02;S01;2646,02;317,52;417,44;191;122,08;86;244;0;14471;4567,37;89,49;90;42,67;65;107,72;323;23457,31;21336,82;17780,73;216
2024-03;S01;2646,02;317,52;366,18;191;122,08;86;244;0;14471;4567,37;105,25;90;50,19;65;132,04;193,3;23453,65;25094,17;20911,95;272
2024-04;S01;2646,02;317,52;366,18;191;122,08;86;244;0;14471;4567,37;124,69;99,09;59,46;65;160,07;315,4;23519,48;29728,03;24773,3;308
2024-05;S01;2646,02;317,52;366,18;191;122,08;86;244;0;14471;4567,37;116,54;92,62;55,57;65;153,13;365,4;23494,03;27786,64;23155,55;286
2024-06;S01;2646,02;317,52;395,47;191;122,08;86;244;0;14471;4567,37;94,23;90;44,93;65;126,48;217,6;23461,1;22466,2;18721,81;231
2024-07;S01;2646,02;317,52;395,47;191;122,08;86;244;0;14471;4567,37;113,06;90;53,91;65;152,58;82;23515,01;26956,6;22463,78;275
2024-08;S01;2646,02;317,52;395,47;191;122,08;86;244;0;14471;4567,37;115,3;91,63;54,98;65;154,3;290,5;23521,67;27489,48;22907,87;276
2024-09;S01;2646,02;317,52;366,18;191;122,08;86;244;0;14471;4567,37;120,1;95,45;57,27;65;161,72;309,4;23510,71;28633,84;23861,64;279
2024-10;S01;2646,02;317,52;366,18;191;122,08;86;244;0;14471;4567,37;140,19;111,41;66,85;65;182,26;189,3;23576,88;33424,24;27853,56;335
2024-11;S01;2646,02;317,52;366,18;191;122,08;86;244;0;14471;4567,37;127,09;101;60,6;65;164,67;293,4;23529,53;30301,17;25250,89;314
2024-12;S01;2646,02;317,52;417,44;191;122,08;86;244;0;14471;4567,37;160,91;127,89;76,73;65;213,38;239;23706,34;38365,9;31971,55;376
2024-01;S02;2981,95;357,83;179,18;108,55;97,56;52,05;198,9;108,9;13645;4662,98;165,35;263,93;156,16;70,75;114,45;173,1;23163,54;26393,25;21994,52;199
2024-02;S02;2981,95;357,83;179,18;108,55;97,56;52,05;198,9;108,9;13645;4662,98;154,78;247,06;146,18;70,75;118,31;228,5;23129,98;24706,24;20588,61;179
2024-03;S02;2981,95;357,83;157,18;108,55;97,56;52,05;198,9;108,9;13645;4662,98;190,52;304,11;179,93;70,75;150,31;210,3;23266,52;30410,4;25342,1;231
2024-04;S02;2981,95;357,83;157,18;108,55;97,56;52,05;198,9;108,9;13645;4662,98;204,05;325,7;192,7;70,75;157,23;321,1;23321,33;32569,64;27141,54;241
2024-05;S02;2981,95;357,83;157,18;108,55;97,56;52,05;198,9;108,9;13645;4662,98;205,4;327,85;193,98;70,75;163,36;288,3;23332,24;32785,23;27321,09;226
2024-06;S02;2981,95;357,83;169,75;108,55;97,56;52,05;198,9;108,9;13645;4662,98;171,15;273,19;161,64;70,75;137,92;195,4;23198,12;27318,63;22765,67;206
2024-07;S02;2981,95;357,83;169,75;108,55;97,56;52,05;198,9;108,9;13645;4662,98;168,61;269,13;159,24;70,75;139,4;193,8;23190,6;26912,97;22427,61;207
2024-08;S02;2981,95;357,83;169,75;108,55;97,56;52,05;198,9;108,9;13645;4662,98;190,64;304,29;180,04;70,75;147,06;344,2;23276,25;30428,8;25357,49;219
2024-09;S02;2981,95;357,83;157,18;108,55;97,56;52,05;198,9;108,9;13645;4662,98;196,8;314,13;185,86;70,75;150,68;287,9;23289,12;31412,57;26177,25;241
2024-10;S02;2981,95;357,83;157,18;108,55;97,56;52,05;198,9;108,9;13645;4662,98;258,33;412,33;243,96;70,75;219,09;282,2;23575,36;41233,17;34361,21;297
2024-11;S02;2981,95;357,83;157,18;108,55;97,56;52,05;198,9;108,9;13645;4662,98;227,31;362,82;214,67;70,75;194,08;388;23440,53;36282,05;30235,17;276
2024-12;S02;2981,95;357,83;179,18;108,55;97,56;52,05;198,9;108,9;13645;4662,98;298,67;476,73;282,07;70,75;237,84;304,9;23758,96;47673,09;39727,75;351
2024-01;S03;3938,35;472,6;409,82;160,4;110,36;73,4;217,2;127,2;10823;3434,28;46,04;92;57,32;72,67;66,35;56,6;20100,99;11658,76;9715,68;107
2024-02;S03;3938,35;472,6;409,82;160,4;110,36;73,4;217,2;127,2;10823;3434,28;43,55;92;54,22;72,67;55,7;153,6;20084,75;11027,93;9189,97;102
2024-03;S03;3938,35;472,6;359,49;160,4;110,36;73,4;217,2;127,2;10823;3434,28;50,9;92;63,37;72,67;77,79;122;20073,01;12888,53;10740,4;108
2024-04;S03;3938,35;472,6;359,49;160,4;110,36;73,4;217,2;127,2;10823;3434,28;58,02;92;72,23;72,67;86,23;207,8;20097,43;14691,6;12243,08;145
2024-05;S03;3938,35;472,6;359,49;160,4;110,36;73,4;217,2;127,2;10823;3434,28;53,77;92;66,94;72,67;81,22;65,9;20082,88;13615,35;11346,22;129
2024-06;S03;3938,35;472,6;388,25;160,4;110,36;73,4;217,2;127,2;10823;3434,28;49,24;92;61,31;72,67;65,21;81,8;20085,47;12469,19;10391;113
2024-07;S03;3938,35;472,6;388,25;160,4;110,36;73,4;217,2;127,2;10823;3434,28;47,14;92;58,69;72,67;67,14;94,5;20082,68;11937,26;9947,77;111
2024-08;S03;3938,35;472,6;388,25;160,4;110,36;73,4;217,2;127,2;10823;3434,28;52,49;92;65,35;72,67;74,22;142,3;20101,77;13292,47;11077,09;124
2024-09;S03;3938,35;472,6;359,49;160,4;110,36;73,4;217,2;127,2;10823;3434,28;50,32;92;62,65;72,67;72,29;272,5;20066,21;12741,76;10618,15;119
2024-10;S03;3938,35;472,6;359,49;160,4;110,36;73,4;217,2;127,2;10823;3434,28;67,97;92;84,62;72,67;96,24;60,2;20129,78;17211,66;14343,15;159
2024-11;S03;3938,35;472,6;359,49;160,4;110,36;73,4;217,2;127,2;10823;3434,28;68,79;92;85,65;72,67;90,09;118;20125,48;17419,49;14516,26;152
2024-12;S03;3938,35;472,6;409,82;160,4;110,36;73,4;217,2;127,2;10823;3434,28;76,54;92;95,29;72,67;104,39;129,8;20207,5;19381,46;16151,24;172
2024-01;S04;2924,01;350,88;423,91;160,06;106,05;66,05;210,9;120,9;13511;4281,78;110,31;161,61;113,13;74,08;159,49;158,8;22774,16;27705,04;23087,44;237
2024-02;S04;2924,01;350,88;423,91;160,06;106,05;66,05;210,9;120,9;13511;4281,78;117,05;171,49;120,04;74,08;167,85;228;22806,05;29397,73;24497,98;235
2024-03;S04;2924,01;350,88;371,86;160,06;106,05;66,05;210,9;120,9;13511;4281,78;121,93;178,64;125,05;74,08;179,71;119;22782,9;30624,12;25519,98;257
2024-04;S04;2924,01;350,88;371,86;160,06;106,05;66,05;210,9;120,9;13511;4281,78;134,92;197,67;138,37;74,08;194,86;256,2;22843,39;33886,16;28238,41;284
2024-05;S04;2924,01;350,88;371,86;160,06;106,05;66,05;210,9;120,9;13511;4281,78;130,52;191,22;133,85;74,08;198,81;228,5;22831,97;32780,65;27317,07;275
2024-06;S04;2924,01;350,88;401,6;160,06;106,05;66,05;210,9;120,9;13511;4281,78;111,53;163,4;114,38;74,08;173,15;288,1;22769,77;28012;23343,27;260
2024-07;S04;2924,01;350,88;401,6;160,06;106,05;66,05;210,9;120,9;13511;4281,78;113,73;166,62;116,64;74,08;169,64;279,2;22773,94;28564,09;23803,26;262
2024-08;S04;2924,01;350,88;401,6;160,06;106,05;66,05;210,9;120,9;13511;4281,78;129,18;189,26;132,48;74,08;188,96;272,8;22847,19;32444,22;27036,77;256
2024-09;S04;2924,01;350,88;371,86;160,06;106,05;66,05;210,9;120,9;13511;4281,78;139,92;204,99;143,49;74,08;203,66;406,8;22869,63;35140,98;29284,1;296
2024-10;S04;2924,01;350,88;371,86;160,06;106,05;66,05;210,9;120,9;13511;4281,78;143,73;210,58;147,41;74,08;207,76;193,7;22887,05;36099,7;30082,88;323
2024-11;S04;2924,01;350,88;371,86;160,06;106,05;66,05;210,9;120,9;13511;4281,78;166,51;243,95;170,76;74,08;238,87;258,8;22997,66;41819,91;34849,74;360
2024-12;S04;2924,01;350,88;423,91;160,06;106,05;66,05;210,9;120,9;13511;4281,78;178,84;262,01;183,41;74,08;261,03;258,1;23114,91;44917,03;37430,61;385
2024-01;S05;2214,55;265,75;518,55;185,05;119,8;83,55;241,9;0;11395;3213,6;75,27;105;45,49;63,25;99,93;222,8;18626,69;20994,86;17495,79;213
2024-02;S05;2214,55;265,75;518,55;185,05;119,8;83,55;241,9;0;11395;3213,6;78,52;105;47,45;63,25;114,32;191,2;18646,29;21899,3;18249,53;217
2024-03;S05;2214,55;265,75;454,86;185,05;119,8;83,55;241,9;0;11395;3213,6;88,51;105;53,49;63,25;129,61;208,4;18613,92;24687,86;20573,29;247
2024-04;S05;2214,55;265,75;454,86;185,05;119,8;83,55;241,9;0;11395;3213,6;102,25;105;61,79;63,25;145,24;257,7;18651,59;28519,81;23766,74;282
2024-05;S05;2214,55;265,75;454,86;185,05;119,8;83,55;241,9;0;11395;3213,6;95,9;105;57,96;63,25;128,83;228;18625;26749,25;22291,14;264
2024-06;S05;2214,55;265,75;491,25;185,05;119,8;83,55;241,9;0;11395;3213,6;87,33;105;52,77;63,25;126,29;124,4;18645,09;24356,51;20297,28;246
2024-07;S05;2214,55;265,75;491,25;185,05;119,8;83,55;241,9;0;11395;3213,6;93,85;105;56,72;63,25;131,96;104,3;18661,23;26176,34;21813,81;267
2024-08;S05;2214,55;265,75;491,25;185,05;119,8;83,55;241,9;0;11395;3213,6;94;105;56,81;63,25;135,54;247,6;18665,05;26219,14;21849,47;255
2024-09;S05;2214,55;265,75;454,86;185,05;119,8;83,55;241,9;0;11395;3213,6;100,34;105;60,64;63,25;143,94;160,7;18647,23;27985,35;23321,31;284
2024-10;S05;2214,55;265,75;454,86;185,05;119,8;83,55;241,9;0;11395;3213,6;110,79;105;66,95;63,25;152,72;225,5;18672,77;30901,02;25751,05;301
2024-11;S05;2214,55;265,75;454,86;185,05;119,8;83,55;241,9;0;11395;3213,6;116,09;107,93;70,16;63,25;166,2;210,8;18697,69;32379,92;26983,32;310
2024-12;S05;2214,55;265,75;518,55;185,05;119,8;83,55;241,9;0;11395;3213,6;144,23;134,09;87,16;63,25;205,2;284,4;18871,68;40228,24;33523,74;398
2024-01;S06;2338,64;280,64;500,52;213,95;130,87;95,45;252,1;146,1;10785,61;3567,96;48,08;104,16;44,2;71,75;71,27;133,6;18651,3;15599,41;12999,38;146
2024-02;S06;2338,64;280,64;500,52;213,95;130,87;95,45;252,1;146,1;11446;3779,28;51,01;104,16;46,9;71,75;71,57;170,4;19528,94;16551,82;13793,08;158
2024-03;S06;2338,64;280,64;439,05;213,95;130,87;95,45;252,1;146,1;11446;3779,28;53,08;104,16;48,8;71,75;76,65;115,8;19476,52;17222,57;14352,11;165
2024-04;S06;2338,64;280,64;439,05;213,95;130,87;95,45;252,1;146,1;11446;3779,28;57,16;104,16;52,55;71,75;76,29;216,9;19483,99;18546,73;15455,55;183
2024-05;S06;2338,64;280,64;439,05;213,95;130,87;95,45;252,1;146,1;10903,39;3725,02;58,08;104,16;53,4;71,75;74,78;150,6;18887,38;18845,47;15704,51;188
2024-06;S06;2338,64;280,64;474,17;213,95;130,87;95,45;252,1;146,1;11369,03;3771,58;49,49;104,16;45,49;71,75;70,91;145,8;19414,33;16055,84;13379,79;145
2024-07;S06;2338,64;280,64;474,17;213,95;130,87;95,45;252,1;146,1;10435,1;3572,21;49,98;104,16;45,95;71,75;77,5;199,3;18288,57;16217,58;13514,53;160
2024-08;S06;2338,64;280,64;474,17;213,95;130,87;95,45;252,1;146,1;10294,48;3511,33;52,31;104,16;48,09;71,75;89,18;237,2;18103,22;16971,74;14143,06;158
2024-09;S06;2338,64;280,64;439,05;213,95;130,87;95,45;252,1;146,1;9957,33;3397,69;59,06;104,16;54,29;71,75;84,58;188,7;17625,66;19161,26;15967,69;180
2024-10;S06;2338,64;280,64;439,05;213,95;130,87;95,45;252,1;146,1;11252,19;3821,35;73,04;104,16;67,14;71,75;104,91;185,8;19391,34;23698,16;19748,4;220
2024-11;S06;2338,64;280,64;439,05;213,95;130,87;95,45;252,1;146,1;12627;4261,29;66,36;104,16;61;71,75;99,22;128,1;21187,58;21530,56;17942,01;194
2024-12;S06;2338,64;280,64;500,52;213,95;130,87;95,45;252,1;146,1;12627;4261,29;84,58;104,16;77,75;71,75;130,32;114,8;21315,12;27441,52;22867,83;263
2024-01;S07;4159,84;499,18;422,72;181,65;118,5;82,15;240,7;134,7;13442;4316,25;92,17;103;59,34;78,92;89,27;172,3;24020,39;17367,69;14473,21;169
2024-02;S07;4159,84;499,18;422,72;181,65;118,5;82,15;240,7;134,7;13442;4316,25;90,21;103;58,08;78,92;91,13;112,7;24019,03;16997,96;14165,05;154
2024-03;S07;4159,84;499,18;370,8;181,65;118,5;82,15;240,7;134,7;13442;4316,25;111,86;103;72,01;78,92;113,92;87,1;24025,48;21076,84;17564,18;194
2024-04;S07;4159,84;499,18;370,8;181,65;118,5;82,15;240,7;134,7;13442;4316,25;115,49;103;74,35;78,92;133,86;249;24051,39;21761,84;18135,09;200
2024-05;S07;4159,84;499,18;370,8;181,65;118,5;82,15;240,7;134,7;13442;4316,25;117,26;103;75,49;78,92;130,73;259;24051,17;22094,88;18412,55;213
2024-06;S07;4159,84;499,18;400,47;181,65;118,5;82,15;240,7;134,7;13442;4316,25;91,75;103;59,07;78,92;93;126,1;24001,18;17288,19;14406,91;156
2024-07;S07;4159,84;499,18;400,47;181,65;118,5;82,15;240,7;134,7;13442;4316,25;105,01;103;67,61;78,92;103,38;94,3;24033,36;19786,78;16489,11;193
2024-08;S07;4159,84;499,18;400,47;181,65;118,5;82,15;240,7;134,7;13442;4316,25;99,12;103;63,81;78,92;107,87;87,1;24028,16;18677,27;15564,49;167
2024-09;S07;4159,84;499,18;370,8;181,65;118,5;82,15;240,7;134,7;13442;4316,25;112,43;103;72,38;78,92;110,48;184,2;24022,98;21184,8;17654,11;191
2024-10;S07;4159,84;499,18;370,8;181,65;118,5;82,15;240,7;134,7;13442;4316,25;137,33;103;88,41;78,92;155,9;170,5;24109,33;25875,93;21563,41;236
2024-11;S07;4159,84;499,18;370,8;181,65;118,5;82,15;240,7;134,7;13442;4316,25;128,01;103;82,41;78,92;138,05;217,3;24076,16;24120,17;20100,3;232
2024-12;S07;4159,84;499,18;422,72;181,65;118,5;82,15;240,7;134,7;13442;4316,25;166,72;104,72;107,33;78,92;175,84;275,3;24231,22;31414,39;26178,88;286
2024-01;S08;4226,3;507,16;438,4;165,16;107,8;67,8;212,4;122,4;12080;3745,96;186,33;242,35;180,03;75,33;213,49;286,6;22570,91;41546,01;34621,69;322
2024-02;S08;4226,3;507,16;438,4;165,16;107,8;67,8;212,4;122,4;12080;3745,96;194,75;253,3;188,16;75,33;204,45;299,8;22589,37;43422,22;36185,15;329
2024-03;S08;4226,3;507,16;384,56;165,16;107,8;67,8;212,4;122,4;12080;3745,96;227,46;295,84;219,77;75,33;269,03;406,4;22706,97;50715,76;42263,08;428
2024-04;S08;4226,3;507,16;384,56;165,16;107,8;67,8;212,4;122,4;12080;3745,96;229,94;299,07;222,17;75,33;266,41;346,6;22712,46;51269,07;42724,07;413
2024-05;S08;4226,3;507,16;384,56;165,16;107,8;67,8;212,4;122,4;12080;3745,96;232,84;302,84;224,97;75,33;285,87;253;22741,39;51915,88;43263,07;418
2024-06;S08;4226,3;507,16;415,32;165,16;107,8;67,8;212,4;122,4;12080;3745,96;210,41;273,67;203,3;75,33;256,82;376,6;22669,83;46914,89;39095,69;362
2024-07;S08;4226,3;507,16;415,32;165,16;107,8;67,8;212,4;122,4;12080;3745,96;204,07;265,42;197,17;75,33;247,3;232,6;22639,59;45500,87;37917,33;344
2024-08;S08;4226,3;507,16;415,32;165,16;107,8;67,8;212,4;122,4;12080;3745,96;227,98;296,51;220,27;75,33;271,72;364;22742,11;50830,76;42358,83;393
2024-09;S08;4226,3;507,16;384,56;165,16;107,8;67,8;212,4;122,4;12080;3745,96;228,97;297,81;221,23;75,33;271,24;375,8;22714,12;51052,87;42543,9;393
2024-10;S08;4226,3;507,16;384,56;165,16;107,8;67,8;212,4;122,4;12080;3745,96;260,43;338,73;251,63;75,33;295,94;529,1;22841,6;58067,89;48389,7;476
2024-11;S08;4226,3;507,16;384,56;165,16;107,8;67,8;212,4;122,4;12080;3745,96;274,84;357,47;265,55;75,33;334,72;582,6;22927,45;61280,73;51067,16;476
2024-12;S08;4226,3;507,16;438,4;165,16;107,8;67,8;212,4;122,4;12080;3745,96;289,99;377,17;280,19;75,33;349,9;483,7;23045,96;64658,68;53882,02;494
