sale_id;line_id;date;time;store_id;store_type;zone;surface;hyper;specialty_brands;open_time;open_to_clients_hours;open_days;foot_traffic_by_hour;daily_foot_traffic;nb_employees;employee_id;employee_profile;monthly_salary;anciennete_mois;hire_date;job_role;average_day_time_backoffice;average_day_time_frontoffice;customer_id;genre;age;favorite_brand;has_loyalty_card;customer_profile;loyalty_points_used;loyalty_points_earned;product_id;product_kind;brand;category;model;color;size;price_sold;tva_rate;price_ht;tva_amount;loyalty_discount_ttc;gross_price_ttc_before_loyalty;base_price;is_best_seller;total_discount_applied;special_offer_discount;discount_value_fidelity;ajust_value_magasin;discount_val_month;pct_economise;year_month;CA_month
V000001;L0000001;2024-01-12;13:05;S01;Discount;Peripherie;160;non;Reebok|Jordans|New Balance;10;9h/19h;open 5/7;35;350;6;E0002;JeunePrometteur;2051;52;2020-08-10;Sales;0,13;0,87;C0059;M;45;;false;impulsif;0;0;P041;shoe;Jordans;Running;Zoom;Deep Purple;38;73,6;0,2;61,33;12,27;0;73,6;92;false;18,4;0;0;-9;18,4;20;2024-01;22339,56
V000002;L0000002;2024-01-22;15:31;S01;Discount;Peripherie;160;non;Reebok|Jordans|New Balance;10;9h/19h;open 5/7;35;350;6;E0002;JeunePrometteur;2051;52;2020-08-10;Sales;0,13;0,87;C0204;M;32;;false;impulsif;0;0;P041;shoe;Jordans;Running;Zoom;Deep Purple;38;92;0,2;76,67;15,33;0;92;92;false;0;0;0;-9;0;0;2024-01;22339,56
V000003;L0000003;2024-01-09;15:51;S01;Discount;Peripherie;160;non;Reebok|Jordans|New Balance;10;9h/19h;open 5/7;35;350;6;E0002;JeunePrometteur;2051;52;2020-08-10;Sales;0,13;0,87;C0136;M;35;;true;sneakerhead;0;16;P080;shoe;Reebok;Limited Edition;Elite;Deep Blue;39;160;0,2;133,33;26,67;0;160;160;true;0;0;0;-9;0;0;2024-01;22339,56
V000004;L0000004;2024-01-31;15:11;S01;Discount;Peripherie;160;non;Reebok|Jordans|New Balance;10;9h/19h;open 5/7;35;350;6;E0003;Experimente;2808;132;2013-12-16;Sales;0,1;0,9;C0397;M;16;;true;impulsif;0;19;P075;shoe;New Balance;Trail;Zoom;Light Green;40;95,17;0,2;79,31;15,86;0;95,17;95,17;true;0;0;0;-9;0;0;2024-01;22339,56
V000004;L0000005;2024-01-31;15:11;S01;Discount;Peripherie;160;non;Reebok|Jordans|New Balance;10;9h/19h;open 5/7;35;350;6;E0003;Experimente;2808;132;2013-12-16;Sales;0,1;0,9;C0397;M;16;;true;impulsif;0;19;P024;shoe;New Balance;Trail;Zoom;Classic Grey;40;102,46;0,2;85,38;17,08;0;102,46;102,46;false;0;0;0;-9;0;0;2024-01;22339,56
V000005;L0000006;2024-01-31;09:26;S01;Discount;Peripherie;160;non;Reebok|Jordans|New Balance;10;9h/19h;open 5/7;35;350;6;E0006;Blase;2700;198;2008-06-18;Support;0,2;0,8;C0338;M;19;;true;sneakerhead;0;14;P076;shoe;Jordans;Limited Edition;Zoom;Deep Blue;33;149,39;0,2;124,49;24,9;0;149,39;149,39;false;0;0;0;-9;0;0;2024-01;22339,56
V000006;L0000007;2024-01-23;09:39;S01;Discount;Peripherie;160;non;Reebok|Jordans|New Balance;10;9h/19h;open 5/7;35;350;6;E0005;Blase;2201;105;2016-03-11;Sales;0,19;0,81;C0217;M;21;;true;impulsif;0;11;P055;shoe;Jordans;Casual;Air;Brown Bear;45;111;0,2;92,5;18,5;0;111;111;true;0;0;0;-9;0;0;2024-01;22339,56
V000007;L0000008;2024-01-16;13:39;S01;Discount;Peripherie;160;non;Reebok|Jordans|New Balance;10;9h/19h;open 5/7;35;350;6;E0002;JeunePrometteur;2051;52;2020-08-10;Sales;0,13;0,87;C0165;F;40;;false;chasseur_de_promos;0;0;P016;shoe;New Balance;Running;Flex;Premium Black;42;98,26;0,2;81,88;16,38;0;98,26;115,62;false;17,36;17,36;0;-9;0;15,01;2024-01;22339,56
V000008;L0000009;2024-01-30;15:29;S01;Discount;Peripherie;160;non;Reebok|Jordans|New Balance;10;9h/19h;open 5/7;35;350;6;E0001;Experimente;2734;102;2016-06-02;Sales;0,07;0,93;C0185;F;16;;true;sneakerhead;0;14;P076;shoe;Jordans;Limited Edition;Zoom;Deep Blue;33;149,39;0,2;124,49;24,9;0;149,39;149,39;false;0;0;0;-9;0;0;2024-01;22339,56
V000009;L0000010;2024-01-10;09:29;S01;Discount;Peripherie;160;non;Reebok|Jordans|New Balance;10;9h/19h;open 5/7;35;350;6;E0002;JeunePrometteur;2051;52;2020-08-10;Sales;0,13;0,87;C0391;F;33;New Balance;true;fidele_marque;0;11;P052;shoe;New Balance;Training;Pro;Electric Blue;45;113;0,2;94,17;18,83;0;113;113;false;0;0;0;-9;0;0;2024-01;22339,56
V000010;L0000011;2024-01-09;18:38;S01;Discount;Peripherie;160;non;Reebok|Jordans|New Balance;10;9h/19h;open 5/7;35;350;6;E0004;JeunePrometteur;1977;47;2021-01-02;Sales;0,11;0,89;C0269;M;32;;true;impulsif;0;11;P052;shoe;New Balance;Training;Pro;Electric Blue;45;113;0,2;94,17;18,83;0;113;113;false;0;0;0;-9;0;0;2024-01;22339,56
V000011;L0000012;2024-01-09;09:19;S01;Discount;Peripherie;160;non;Reebok|Jordans|New Balance;10;9h/19h;open 5/7;35;350;6;E0001;Experimente;2734;102;2016-06-02;Sales;0,07;0,93;C0078;F;65;;true;sneakerhead;0;11;P055;shoe;Jordans;Casual;Air;Brown Bear;45;111;0,2;92,5;18,5;0;111;111;true;0;0;0;-9;0;0;2024-01;22339,56
V000012;L0000013;2024-01-23;15:15;S01;Discount;Peripherie;160;non;Reebok|Jordans|New Balance;10;9h/19h;open 5/7;35;350;6;E0003;Experimente;2808;132;2013-12-16;Sales;0,1;0,9;C0148;M;20;;true;chasseur_de_promos;220;5;P041;shoe;Jordans;Running;Zoom;Deep Purple;38;51,6;0,2;43;8,6;22;73,6;92;false;40,4;0;22;-9;18,4;43,91;2024-01;22339,56
V000013;L0000014;2024-01-26;18:06;S01;Discount;Peripherie;160;non;Reebok|Jordans|New Balance;10;9h/19h;open 5/7;35;350;6;E0001;Experimente;2734;102;2016-06-02;Sales;0,07;0,93;C0017;M;44;;true;chasseur_de_promos;0;18;P019;shoe;Reebok;Basketball;Pro;Light Green;33;82,72;0,2;68,93;13,79;0;82,72;100;false;17,28;17,28;0;-9;0;17,28;2024-01;22339,56
V000013;L0000015;2024-01-26;18:06;S01;Discount;Peripherie;160;non;Reebok|Jordans|New Balance;10;9h/19h;open 5/7;35;350;6;E0001;Experimente;2734;102;2016-06-02;Sales;0,07;0,93;C0017;M;44;;true;chasseur_de_promos;0;18;P045;shoe;Reebok;Training;Elite;Brown Bear;33;100,34;0,2;83,62;16,72;0;100,34;100,34;false;0;0;0;-9;0;0;2024-01;22339,56
V000014;L0000016;2024-01-04;10:58;S01;Discount;Peripherie;160;non;Reebok|Jordans|New Balance;10;9h/19h;open 5/7;35;350;6;E0005;Blase;2201;105;2016-03-11;Sales;0,19;0,81;C0147;M;40;;true;impulsif;0;9;P066;shoe;Reebok;Running;Elite;Black;43;93,76;0,2;78,13;15,63;0;93,76;93,76;false;0;0;0;-9;0;0;2024-01;22339,56
V000015;L0000017;2024-01-11;11:17;S01;Discount;Peripherie;160;non;Reebok|Jordans|New Balance;10;9h/19h;open 5/7;35;350;6;E0001;Experimente;2734;102;2016-06-02;Sales;0,07;0,93;C0277;F;40;;true;chasseur_de_promos;288;20;P037;shoe;New Balance;Running;Pro;Light Green;42;63,2;0,2;52,67;10,53;28,8;92;92;false;28,8;0;28,8;-9;0;31,3;2024-01;22339,56
V000015;L0000018;2024-01-11;11:17;S01;Discount;Peripherie;160;non;Reebok|Jordans|New Balance;10;9h/19h;open 5/7;35;350;6;E0001;Experimente;2734;102;2016-06-02;Sales;0,07;0,93;C0277;F;40;;true;chasseur_de_promos;288;20;P016;shoe;New Balance;Running;Flex;Premium Black;42;115,62;0,2;96,35;19,27;0;115,62;115,62;false;0;0;0;-9;0;0;2024-01;22339,56
V000015;L0000019;2024-01-11;11:17;S01;Discount;Peripherie;160;non;Reebok|Jordans|New Balance;10;9h/19h;open 5/7;35;350;6;E0001;Experimente;2734;102;2016-06-02;Sales;0,07;0,93;C0277;F;40;;true;chasseur_de_promos;288;20;A010;accessory;Accessoire;Casquette;Casquette;White;S;21,81;0,2;18,18;3,63;0;21,81;26,75;false;4,94;4,94;0;-9;0;18,47;2024-01;22339,56
V000016;L0000020;2024-01-29;13:11;S01;Discount;Peripherie;160;non;Reebok|Jordans|New Balance;10;9h/19h;open 5/7;35;350;6;E0003;Experimente;2808;132;2013-12-16;Sales;0,1;0,9;C0086;M;28;;true;impulsif;0;17;P078;shoe;Reebok;Casual;Elite;Brown Bear;32;63,32;0,2;52,77;10,55;0;63,32;90,46;false;27,14;0;0;-9;27,14;30;2024-01;22339,56
V000016;L0000021;2024-01-29;13:11;S01;Discount;Peripherie;160;non;Reebok|Jordans|New Balance;10;9h/19h;open 5/7;35;350;6;E0003;Experimente;2808;132;2013-12-16;Sales;0,1;0,9;C0086;M;28;;true;impulsif;0;17;P028;shoe;Reebok;Casual;Air;Gold;32;111;0,2;92,5;18,5;0;111;111;false;0;0;0;-9;0;0;2024-01;22339,56
