sale_id;date;time;store_id;employee_id;customer_id;article_count;sale_total_ht;sale_total_ttc;sale_total_discount;product_1_id;product_1_kind;product_1_brand;product_1_model;product_1_is_best_seller;product_1_price_ht;product_1_base_price;product_1_total_discount_applied;product_1_special_offer_discount;product_1_discount_value_fidelity;product_1_discount_val_month;product_1_pct_economise;product_2_id;product_2_kind;product_2_brand;product_2_model;product_2_is_best_seller;product_2_price_ht;product_2_base_price;product_2_total_discount_applied;product_2_special_offer_discount;product_2_discount_value_fidelity;product_2_discount_val_month;product_2_pct_economise;product_3_id;product_3_kind;product_3_brand;product_3_model;product_3_is_best_seller;product_3_price_ht;product_3_base_price;product_3_total_discount_applied;product_3_special_offer_discount;product_3_discount_value_fidelity;product_3_discount_val_month;product_3_pct_economise;product_4_id;product_4_kind;product_4_brand;product_4_model;product_4_is_best_seller;product_4_price_ht;product_4_base_price;product_4_total_discount_applied;product_4_special_offer_discount;product_4_discount_value_fidelity;product_4_discount_val_month;product_4_pct_economise
V000001;2024-01-12;13:05;S01;E0002;C0059;1;;;18,4;P041;shoe;Jordans;Zoom;false;61,33;92;18,4;0;0;18,4;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000002;2024-01-22;15:31;S01;E0002;C0204;1;;;0;P041;shoe;Jordans;Zoom;false;76,67;92;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000003;2024-01-09;15:51;S01;E0002;C0136;1;;;0;P080;shoe;Reebok;Elite;true;133,33;160;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000004;2024-01-31;15:11;S01;E0003;C0397;2;;;0;P075;shoe;New Balance;Zoom;true;79,31;95,17;0;0;0;0;0;P024;shoe;New Balance;Zoom;false;85,38;102,46;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
V000005;2024-01-31;09:26;S01;E0006;C0338;1;;;0;P076;shoe;Jordans;Zoom;false;124,49;149,39;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000006;2024-01-23;09:39;S01;E0005;C0217;1;;;0;P055;shoe;Jordans;Air;true;92,5;111;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000007;2024-01-16;13:39;S01;E0002;C0165;1;;;17,36;P016;shoe;New Balance;Flex;false;81,88;115,62;17,36;17,36;0;0;15,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000008;2024-01-30;15:29;S01;E0001;C0185;1;;;0;P076;shoe;Jordans;Zoom;false;124,49;149,39;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000009;2024-01-10;09:29;S01;E0002;C0391;1;;;0;P052;shoe;New Balance;Pro;false;94,17;113;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000010;2024-01-09;18:38;S01;E0004;C0269;1;;;0;P052;shoe;New Balance;Pro;false;94,17;113;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000011;2024-01-09;09:19;S01;E0001;C0078;1;;;0;P055;shoe;Jordans;Air;true;92,5;111;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000012;2024-01-23;15:15;S01;E0003;C0148;1;;;40,4;P041;shoe;Jordans;Zoom;false;43;92;40,4;0;22;18,4;43,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000013;2024-01-26;18:06;S01;E0001;C0017;2;;;17,28;P019;shoe;Reebok;Pro;false;68,93;100;17,28;17,28;0;0;17,28;P045;shoe;Reebok;Elite;false;83,62;100,34;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
V000014;2024-01-04;10:58;S01;E0005;C0147;1;;;0;P066;shoe;Reebok;Elite;false;78,13;93,76;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000015;2024-01-11;11:17;S01;E0001;C0277;3;;;33,74;P037;shoe;New Balance;Pro;false;52,67;92;28,8;0;28,8;0;31,3;P016;shoe;New Balance;Flex;false;96,35;115,62;0;0;0;0;0;A010;accessory;Accessoire;Casquette;false;18,18;26,75;4,94;4,94;0;0;18,47;;;;;;;;;;;;
V000016;2024-01-29;13:11;S01;E0003;C0086;2;;;27,14;P078;shoe;Reebok;Elite;false;52,77;90,46;27,14;0;0;27,14;30;P028;shoe;Reebok;Air;false;92,5;111;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
V000017;2024-01-30;10:28;S01;E0006;C0296;2;;;0;P005;shoe;Reebok;Air;false;79,23;95,08;0;0;0;0;0;P078;shoe;Reebok;Elite;false;75,38;90,46;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
V000018;2024-01-19;09:08;S01;E0002;C0269;2;;;32;P087;shoe;New Balance;Flex;false;106,67;160;32;0;0;32;20;P031;shoe;New Balance;Max;false;94;112,8;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
V000019;2024-01-25;09:11;S01;E0003;C0092;2;;;20,07;P010;shoe;Reebok;Elite;false;87,44;104,93;0;0;0;0;0;P045;shoe;Reebok;Elite;false;66,89;100,34;20,07;0;0;20,07;20;;;;;;;;;;;;;;;;;;;;;;;;
V000020;2024-01-02;15:09;S01;E0005;C0269;1;;;0;P017;shoe;Reebok;Elite;false;91,42;109,71;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000021;2024-01-22;16:44;S01;E0004;C0085;1;;;0;P035;shoe;Jordans;Elite;false;92,5;111;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000022;2024-01-29;12:38;S01;E0006;C0267;1;;;16,75;P043;shoe;New Balance;Flex;false;80,21;113;16,75;5,45;0;11,3;14,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000023;2024-01-11;18:59;S01;E0001;C0342;1;;;14,9;P066;shoe;Reebok;Elite;false;65,72;93,76;14,9;0;14,9;0;15,89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000024;2024-01-11;15:12;S01;E0001;C0315;2;;;13,06;P034;shoe;Jordans;Flex;true;86,72;114,32;10,25;10,25;0;0;8,97;A012;accessory;Accessoire;Lacets;false;5,09;8,92;2,81;1,03;0;1,78;31,5;;;;;;;;;;;;;;;;;;;;;;;;
V000025;2024-01-26;13:57;S01;E0001;C0138;2;;;3,32;P082;shoe;Jordans;Air;false;75,38;90,46;0;0;0;0;0;A009;accessory;Accessoire;Tee-shirt;false;19,53;26,75;3,32;3,32;0;0;12,41;;;;;;;;;;;;;;;;;;;;;;;;
V000026;2024-01-17;09:55;S01;E0001;C0169;1;;;34,54;P029;shoe;New Balance;Pro;false;47,88;92;34,54;9,94;24,6;0;37,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000027;2024-01-18;10:09;S01;E0003;C0297;2;;;0;P017;shoe;Reebok;Elite;false;91,42;109,71;0;0;0;0;0;P063;shoe;Reebok;Elite;false;100,75;120,9;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
V000028;2024-01-24;17:21;S01;E0002;C0060;1;;;21,66;P054;shoe;Jordans;Air;true;80,28;118;21,66;21,66;0;0;18,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000029;2024-01-03;10:38;S01;E0005;C0308;1;;;0;P028;shoe;Reebok;Air;false;92,5;111;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
