sale_id;line_id;date;time;store_id;store_type;zone;surface;open_to_clients_hours;open_days;foot_traffic_by_hour;employee_id;monthly_salary;hire_date;job_role;average_day_time_backoffice;average_day_time_frontoffice;customer_id;genre;age;has_loyalty_card;loyalty_points_used;loyalty_points_earned;product_id;product_kind;price_sold;tva_rate;price_ht;tva_amount;loyalty_discount_ttc;gross_price_ttc_before_loyalty;base_price;brand;category;model;size;color;is_best_seller
V000001;L0000001;2024-01-12;13:05;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0002;2051;2020-08-10;Sales;0,13;0,87;C0059;M;45;false;0;0;P041;shoe;73,6;0,2;61,33;12,27;0;73,6;92;Jordans;Running;Zoom;38;Deep Purple;false
V000002;L0000002;2024-01-22;15:31;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0002;2051;2020-08-10;Sales;0,13;0,87;C0204;M;32;false;0;0;P041;shoe;92;0,2;76,67;15,33;0;92;92;Jordans;Running;Zoom;38;Deep Purple;false
V000003;L0000003;2024-01-09;15:51;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0002;2051;2020-08-10;Sales;0,13;0,87;C0136;M;35;true;0;16;P080;shoe;160;0,2;133,33;26,67;0;160;160;Reebok;Limited Edition;Elite;39;Deep Blue;true
V000004;L0000004;2024-01-31;15:11;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0003;2808;2013-12-16;Sales;0,1;0,9;C0397;M;16;true;0;19;P075;shoe;95,17;0,2;79,31;15,86;0;95,17;95,17;New Balance;Trail;Zoom;40;Light Green;true
V000004;L0000005;2024-01-31;15:11;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0003;2808;2013-12-16;Sales;0,1;0,9;C0397;M;16;true;0;19;P024;shoe;102,46;0,2;85,38;17,08;0;102,46;102,46;New Balance;Trail;Zoom;40;Classic Grey;false
V000005;L0000006;2024-01-31;09:26;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0006;2700;2008-06-18;Support;0,2;0,8;C0338;M;19;true;0;14;P076;shoe;149,39;0,2;124,49;24,9;0;149,39;149,39;Jordans;Limited Edition;Zoom;33;Deep Blue;false
V000006;L0000007;2024-01-23;09:39;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0005;2201;2016-03-11;Sales;0,19;0,81;C0217;M;21;true;0;11;P055;shoe;111;0,2;92,5;18,5;0;111;111;Jordans;Casual;Air;45;Brown Bear;true
V000007;L0000008;2024-01-16;13:39;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0002;2051;2020-08-10;Sales;0,13;0,87;C0165;F;40;false;0;0;P016;shoe;98,26;0,2;81,88;16,38;0;98,26;115,62;New Balance;Running;Flex;42;Premium Black;false
V000008;L0000009;2024-01-30;15:29;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0001;2734;2016-06-02;Sales;0,07;0,93;C0185;F;16;true;0;14;P076;shoe;149,39;0,2;124,49;24,9;0;149,39;149,39;Jordans;Limited Edition;Zoom;33;Deep Blue;false
V000009;L0000010;2024-01-10;09:29;S01;Discount;Peripherie;160;9h/19h;open 5/7;35;E0002;2051;2020-08-10;Sales;0,13;0,87;C0391;F;33;true;0;11;P052;shoe;113;0,2;94,17;18,83;0;113;113;New Balance;Training;Pro;45;Electric Blue;false
