customer_id;genre;age;profile;favorite_brand;has_loyalty_card;loyalty_points
C0001;M;36;chasseur_de_promos;;true;103
C0002;M;34;impulsif;;false;0
C0003;M;16;impulsif;;true;218
C0004;F;35;impulsif;;true;18
C0005;F;44;sneakerhead;;true;93
C0006;M;31;fidele_marque;New Balance;true;173
C0007;F;26;sneakerhead;;true;77
C0008;M;29;impulsif;;false;0
C0009;M;25;impulsif;;false;0
C0010;M;39;fidele_marque;Reebok;true;230
C0011;M;57;fidele_marque;Reebok;true;86
C0012;M;26;sneakerhead;;true;299
C0013;F;34;impulsif;;true;204
C0014;F;31;fidele_marque;Nike;true;168
C0015;F;41;impulsif;;false;0
C0016;M;20;sneakerhead;;true;48
C0017;F;54;sneakerhead;;true;161
C0018;M;37;sneakerhead;;false;0
C0019;M;43;sneakerhead;;true;81
C0020;M;51;impulsif;;false;0
C0021;M;37;sneakerhead;;true;105
C0022;M;31;impulsif;;false;0
C0023;M;36;impulsif;;true;116
C0024;F;50;fidele_marque;Adidas;true;115
C0025;M;27;fidele_marque;New Balance;true;95
C0026;F;59;chasseur_de_promos;;true;166
C0027;M;66;chasseur_de_promos;;true;52
C0028;F;54;impulsif;;false;0
C0029;M;16;fidele_marque;Asics;true;61
C0030;F;21;sneakerhead;;false;0
C0031;M;49;sneakerhead;;true;375
C0032;F;47;impulsif;;true;196
C0033;M;31;sneakerhead;;true;194
C0034;F;43;chasseur_de_promos;;true;95
C0035;F;29;sneakerhead;;false;0
C0036;F;16;fidele_marque;New Balance;true;118
C0037;F;44;fidele_marque;Adidas;true;115
C0038;M;37;chasseur_de_promos;;true;22
C0039;F;46;chasseur_de_promos;;true;150
C0040;F;48;impulsif;;false;0
C0041;F;26;fidele_marque;Adidas;true;51
C0042;M;16;sneakerhead;;true;132
C0043;M;46;fidele_marque;Nike;false;0
C0044;F;25;impulsif;;true;115
C0045;M;49;fidele_marque;New Balance;true;65
C0046;M;28;fidele_marque;Puma;true;12
C0047;M;34;chasseur_de_promos;;false;0
C0048;F;41;fidele_marque;Jordans;false;0
C0049;M;33;fidele_marque;New Balance;true;51
C0050;M;39;sneakerhead;;true;75
C0051;F;34;chasseur_de_promos;;true;26
C0052;F;30;impulsif;;false;0
C0053;F;33;sneakerhead;;true;338
C0054;M;37;impulsif;;true;48
C0055;M;22;chasseur_de_promos;;false;0
C0056;F;17;chasseur_de_promos;;true;14
C0057;M;48;impulsif;;false;0
C0058;M;41;fidele_marque;New Balance;true;140
C0059;F;33;fidele_marque;Jordans;true;77
C0060;F;33;impulsif;;false;0
C0061;M;33;impulsif;;false;0
C0062;M;18;impulsif;;false;0
C0063;M;25;fidele_marque;New Balance;false;0
C0064;M;43;sneakerhead;;true;41
C0065;F;41;sneakerhead;;true;367
C0066;F;19;sneakerhead;;true;196
