year_month;store_id;rent_month;service_charges;utilities;cleaning;insurance;maintenance;software_it;security;gross_payroll;employer_contrib;payment_fees;local_marketing;shrinkage;cfe_month;loyalty_future_cost;loyalty_discount_ttc;total_store_cost;ca_ttc;ca_ht;nb_lines
2024-01;S01;3486,81;418,42;730,2;308,98;151,05;117,15;302,7;164,7;16068;4717,66;167,61;137,75;127,42;87,25;232,24;505,3;27217,94;41323,97;34436,68;382
2024-02;S01;3486,81;418,42;730,2;308,98;151,05;117,15;302,7;164,7;16068;4717,66;158,21;130,02;120,27;87,25;219,55;552,1;27180,97;39005,81;32504,9;362
2024-03;S01;3486,81;418,42;640,53;308,98;151,05;117,15;302,7;164,7;16068;4717,66;202,25;166,21;153,75;87,25;282,86;377,9;27268,32;49863,8;41553,25;469
2024-04;S01;3486,81;418,42;640,53;308,98;151,05;117,15;302,7;164,7;16068;4717,66;208,03;170,96;158,14;87,25;305,08;416,3;27305,46;51289,22;42741,14;469
2024-05;S01;3486,81;418,42;640,53;308,98;151,05;117,15;302,7;164,7;16068;4717,66;208,69;171,51;158,65;87,25;298,49;354,4;27300,59;51452,86;42877,41;480
2024-06;S01;3486,81;418,42;691,77;308,98;151,05;117,15;302,7;164,7;16068;4717,66;183,69;150,96;139,64;87,25;252,03;480,6;27240,81;45289,1;37740,93;420
2024-07;S01;3486,81;418,42;691,77;308,98;151,05;117,15;302,7;164,7;16068;4717,66;188;154,51;142,92;87,25;271,96;381,8;27271,88;46352,24;38626,91;433
2024-08;S01;3486,81;418,42;691,77;308,98;151,05;117,15;302,7;164,7;16068;4717,66;177,2;145,63;134,7;87,25;257,12;412,4;27229,14;43687,7;36406,47;406
2024-09;S01;3486,81;418,42;640,53;308,98;151,05;117,15;302,7;164,7;16068;4717,66;201,55;165,64;153,22;87,25;302,5;389,8;27286,16;49692,47;41410,48;450
2024-10;S01;3486,81;418,42;640,53;308,98;151,05;117,15;302,7;164,7;16068;4717,66;232,29;190,9;176,58;87,25;339,21;433,4;27402,23;57269,99;47725,07;529
2024-11;S01;3486,81;418,42;640,53;308,98;151,05;117,15;302,7;164,7;16068;4717,66;236,33;194,22;179,65;87,25;348,89;565;27422,34;58265,57;48554,74;523
2024-12;S01;3486,81;418,42;730,2;308,98;151,05;117,15;302,7;164,7;16068;4717,66;297,67;244,64;226,29;87,25;432,35;632;27753,87;73391,09;61159,43;680
2024-01;S02;3589,64;430,76;370,23;140,85;105,35;65,35;210,3;120,3;8738;2446,55;99,28;152;89,15;73,58;87,39;106,3;16718,73;18768,55;15640,49;136
2024-02;S02;3589,64;430,76;370,23;140,85;105,35;65,35;210,3;120,3;8738;2446,55;90,5;152;81,27;73,58;88,91;184,6;16703,59;17109,61;14258,05;135
2024-03;S02;3589,64;430,76;324,76;140,85;105,35;65,35;210,3;120,3;8738;2446,55;108,61;152;97,53;73,58;108,1;160,2;16711,68;20533,23;17111,02;148
2024-04;S02;3589,64;430,76;324,76;140,85;105,35;65,35;210,3;120,3;8738;2446,55;133,09;152;119,52;73,58;134,83;230,2;16784,88;25161,22;20967,71;193
2024-05;S02;3589,64;430,76;324,76;140,85;105,35;65,35;210,3;120,3;8738;2446,55;126,03;152;113,18;73,58;120,22;167,1;16756,87;23827,25;19856,07;182
2024-06;S02;3589,64;430,76;350,75;140,85;105,35;65,35;210,3;120,3;8738;2446,55;116,09;152;104,25;73,58;107,85;212,9;16751,62;21947,33;18289,48;159
2024-07;S02;3589,64;430,76;350,75;140,85;105,35;65,35;210,3;120,3;8738;2446,55;118,11;152;106,06;73,58;116,2;168,1;16763,8;22328,83;18607,39;175
2024-08;S02;3589,64;430,76;350,75;140,85;105,35;65,35;210,3;120,3;8738;2446,55;120,12;152;107,87;73,58;115,28;140,5;16766,7;22709,18;18924,35;170
2024-09;S02;3589,64;430,76;324,76;140,85;105,35;65,35;210,3;120,3;8738;2446,55;129,34;152;116,15;73,58;131,06;76,1;16773,99;24451,69;20376,47;175
