sale_id;date;time;store_id;employee_id;customer_id;article_count;sale_total_ht;sale_total_ttc;sale_total_discount;product_1_id;product_1_kind;product_1_brand;product_1_model;product_1_is_best_seller;product_1_price_ht;product_1_base_price;product_1_total_discount_applied;product_1_special_offer_discount;product_1_discount_value_fidelity;product_1_discount_val_month;product_1_pct_economise;product_2_id;product_2_kind;product_2_brand;product_2_model;product_2_is_best_seller;product_2_price_ht;product_2_base_price;product_2_total_discount_applied;product_2_special_offer_discount;product_2_discount_value_fidelity;product_2_discount_val_month;product_2_pct_economise;product_3_id;product_3_kind;product_3_brand;product_3_model;product_3_is_best_seller;product_3_price_ht;product_3_base_price;product_3_total_discount_applied;product_3_special_offer_discount;product_3_discount_value_fidelity;product_3_discount_val_month;product_3_pct_economise;product_4_id;product_4_kind;product_4_brand;product_4_model;product_4_is_best_seller;product_4_price_ht;product_4_base_price;product_4_total_discount_applied;product_4_special_offer_discount;product_4_discount_value_fidelity;product_4_discount_val_month;product_4_pct_economise
V000001;2024-01-30;14:48;S01;E0003;C0083;1;;;0;P027;shoe;Puma;Zoom;true;92,33;110,79;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000002;2024-01-17;15:36;S01;E0001;C0184;1;;;0;P041;shoe;Puma;Air;false;76,25;91,5;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000003;2024-01-01;11:59;S01;E0007;C0250;1;;;0;P027;shoe;Puma;Zoom;true;92,33;110,79;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000004;2024-01-09;09:22;S01;E0007;C0032;1;;;42,73;P040;shoe;Asics;Flex;false;38,08;88,43;42,73;0;16,2;26,53;48,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000005;2024-01-09;16:53;S01;E0004;C0141;1;;;0;P004;shoe;Asics;Max;false;131,08;157,3;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000006;2024-01-30;15:54;S01;E0006;C0125;1;;;17,7;P008;shoe;Jordans;Max;true;77,75;111;17,7;0;17,7;0;15,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000007;2024-01-10;13:34;S01;E0007;C0219;2;;;15,7;P051;shoe;Asics;Flex;true;113,03;151,33;15,7;0;15,7;0;10,37;A007;accessory;Accessoire;Chaussettes;false;22,05;26,46;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
V000008;2024-01-13;17:27;S01;E0003;C0078;1;;;0;P051;shoe;Asics;Flex;true;126,11;151,33;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000009;2024-01-20;17:50;S01;E0007;C0033;1;;;0;P061;shoe;Jordans;Zoom;true;133,33;160;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000010;2024-01-26;09:38;S01;E0007;C0154;1;;;0;P026;shoe;Puma;Flex;false;127,68;153,21;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000011;2024-01-26;16:20;S01;E0007;C0140;2;;;11,19;P025;shoe;Asics;Pro;false;86,59;115,1;11,19;11,19;0;0;9,72;A005;accessory;Accessoire;Lacets;false;18,38;22,05;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
V000012;2024-01-18;13:20;S01;E0008;C0104;1;;;0;P036;shoe;Puma;Pro;false;76,67;92;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000013;2024-01-01;12:02;S01;E0006;C0033;1;;;0;P021;shoe;Jordans;Elite;false;83,33;100;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000014;2024-01-23;14:54;S01;E0004;C0059;1;;;3,88;P021;shoe;Jordans;Elite;false;80,1;100;3,88;3,88;0;0;3,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000015;2024-01-08;11:49;S01;E0007;C0250;1;;;0;P041;shoe;Puma;Air;false;76,25;91,5;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000016;2024-01-26;15:04;S01;E0003;C0077;1;;;0;P025;shoe;Asics;Pro;false;95,92;115,1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000017;2024-01-10;14:43;S01;E0007;C0050;1;;;0;P022;shoe;Jordans;Elite;false;128,88;154,66;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000018;2024-01-27;17:19;S01;E0006;C0220;1;;;0;P061;shoe;Jordans;Zoom;true;133,33;160;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000019;2024-01-24;13:48;S01;E0004;C0184;2;;;0;P022;shoe;Jordans;Elite;false;128,88;154,66;0;0;0;0;0;A004;accessory;Accessoire;Tee-shirt;false;11,03;13,23;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
V000020;2024-01-31;15:09;S01;E0001;C0130;1;;;21,08;P051;shoe;Asics;Flex;true;108,54;151,33;21,08;21,08;0;0;13,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000021;2024-01-19;16:01;S01;E0007;C0091;1;;;0;P027;shoe;Puma;Zoom;true;92,33;110,79;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000022;2024-01-23;14:22;S01;E0004;C0089;1;;;0;P061;shoe;Jordans;Zoom;true;133,33;160;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000023;2024-01-25;16:27;S01;E0007;C0223;2;;;0;P004;shoe;Asics;Max;false;131,08;157,3;0;0;0;0;0;P051;shoe;Asics;Flex;true;126,11;151,33;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
V000024;2024-01-06;10:10;S01;E0006;C0004;1;;;6,16;P016;shoe;Jordans;Pro;false;90,78;115,1;6,16;6,16;0;0;5,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000025;2024-01-05;16:32;S01;E0006;C0207;1;;;27,8;P022;shoe;Jordans;Elite;false;105,72;154,66;27,8;0;27,8;0;17,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000026;2024-01-18;12:23;S01;E0004;C0223;1;;;8,59;P004;shoe;Asics;Max;false;123,93;157,3;8,59;8,59;0;0;5,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000027;2024-01-09;15:52;S01;E0006;C0125;1;;;0;P051;shoe;Asics;Flex;true;126,11;151,33;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000028;2024-01-06;17:44;S01;E0007;C0172;1;;;13,18;P021;shoe;Jordans;Elite;false;72,35;100;13,18;8,18;0;5;13,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000029;2024-01-19;14:56;S01;E0004;C0147;2;;;12,72;P058;shoe;Puma;Air;false;93,61;112,33;0;0;0;0;0;P036;shoe;Puma;Pro;false;66,07;92;12,72;12,72;0;0;13,83;;;;;;;;;;;;;;;;;;;;;;;;
V000030;2024-01-20;13:19;S01;E0004;C0236;1;;;0;P038;shoe;Asics;Zoom;false;100,32;120,38;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000031;2024-01-29;15:33;S01;E0001;C0147;1;;;4,95;P035;shoe;Puma;Zoom;false;78,4;99,03;4,95;0;0;4,95;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000032;2024-01-23;09:44;S01;E0004;C0160;1;;;0;P008;shoe;Jordans;Max;true;92,5;111;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000033;2024-01-03;18:02;S01;E0007;C0154;1;;;0;P061;shoe;Jordans;Zoom;true;133,33;160;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000034;2024-01-27;14:00;S01;E0006;C0252;1;;;0;P061;shoe;Jordans;Zoom;true;133,33;160;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000035;2024-01-06;09:27;S01;E0007;C0172;1;;;0;P027;shoe;Puma;Zoom;true;92,33;110,79;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000036;2024-01-05;18:56;S01;E0004;C0113;2;;;0;P008;shoe;Jordans;Max;true;92,5;111;0;0;0;0;0;A008;accessory;Accessoire;Tee-shirt;false;14,7;17,64;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
V000037;2024-01-20;15:43;S01;E0004;C0182;1;;;0;P017;shoe;Jordans;Max;false;73,69;88,43;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000038;2024-01-13;11:58;S01;E0006;C0148;2;;;0;P006;shoe;Puma;Elite;true;82,07;98,48;0;0;0;0;0;A005;accessory;Accessoire;Lacets;false;18,38;22,05;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
V000039;2024-01-13;15:21;S01;E0006;C0068;1;;;0;P004;shoe;Asics;Max;false;131,08;157,3;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000040;2024-01-11;09:47;S01;E0006;C0079;1;;;0;P008;shoe;Jordans;Max;true;92,5;111;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000041;2024-01-03;12:24;S01;E0008;C0248;1;;;18,64;P036;shoe;Puma;Pro;false;61,13;92;18,64;4,84;0;13,8;20,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000042;2024-01-27;15:33;S01;E0003;C0109;1;;;0;P051;shoe;Asics;Flex;true;126,11;151,33;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000043;2024-01-26;15:54;S01;E0007;C0039;1;;;23,59;P025;shoe;Asics;Pro;false;76,26;115,1;23,59;12,08;0;11,51;20,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000044;2024-01-06;13:08;S01;E0007;C0046;1;;;0;P036;shoe;Puma;Pro;false;76,67;92;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000045;2024-01-02;13:06;S01;E0007;C0080;1;;;8,05;P036;shoe;Puma;Pro;false;69,96;92;8,05;8,05;0;0;8,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000046;2024-01-11;09:16;S01;E0006;C0193;1;;;0;P061;shoe;Jordans;Zoom;true;133,33;160;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000047;2024-01-20;14:12;S01;E0007;C0204;2;;;31,46;P051;shoe;Asics;Flex;true;126,11;151,33;0;0;0;0;0;P004;shoe;Asics;Max;false;104,87;157,3;31,46;0;0;31,46;20;;;;;;;;;;;;;;;;;;;;;;;;
V000048;2024-01-16;17:11;S01;E0008;C0189;1;;;22,98;P026;shoe;Puma;Flex;false;108,52;153,21;22,98;0;0;22,98;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000049;2024-01-02;17:23;S01;E0007;C0160;1;;;24,36;P061;shoe;Jordans;Zoom;true;113,03;160;24,36;24,36;0;0;15,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000050;2024-01-24;16:15;S01;E0006;C0157;1;;;21,86;P038;shoe;Asics;Zoom;false;82,1;120,38;21,86;7,46;14,4;0;18,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000051;2024-01-27;14:22;S01;E0001;C0147;1;;;0;P008;shoe;Jordans;Max;true;92,5;111;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000052;2024-01-13;09:42;S01;E0001;C0007;2;;;0;P022;shoe;Jordans;Elite;false;128,88;154,66;0;0;0;0;0;A006;accessory;Accessoire;Bonnet;false;7,35;8,82;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
V000053;2024-01-26;17:15;S01;E0005;C0241;1;;;0;P027;shoe;Puma;Zoom;true;92,33;110,79;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
V000054;2024-01-04;17:27;S01;E0006;C0208;1;;;0;P008;shoe;Jordans;Max;true;92,5;111;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
