sale_id;date;time;store_id;store_type;zone;surface;open_to_clients_hours;open_days;foot_traffic_by_hour;employee_id;monthly_salary;hire_date;job_role;average_day_time_backoffice;average_day_time_frontoffice;customer_id;genre;age;has_loyalty_card;loyalty_points_used;loyalty_points_earned;product_id;price_sold;base_price;brand;category;model;size;color;is_best_seller
V4646899764;2024-01-13;09:03;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0005;2800;2017-07-01;Salesforce;0,05;0,95;C0017;M;40;False;0;0;P034;166,95;166,95;New Balance;Basketball;Zoom;39;Premium Black;False
V6959806735;2024-01-06;18:02;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0005;2800;2017-07-01;Salesforce;0,05;0,95;C0046;M;48;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V1537195745;2024-01-12;17:32;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0001;2000;2022-07-17;Salesforce;0,12;0,88;C0050;F;23;True;0;13;P035;111,44999999999999;135,45;New Balance;Basketball;Zoom;37;Pink;False
V9095753362;2024-01-20;17:48;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0003;2100;2020-09-04;Salesforce;0,13;0,87;C0138;M;36;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V9095753362;2024-01-20;17:48;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0003;2100;2020-09-04;Salesforce;0,13;0,87;C0138;M;36;True;0;5;G030;20,0;20,0;Bonnet;Bonnet;Bonnet;XS;None;False
V7771673785;2024-01-29;10:49;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0005;2800;2017-07-01;Salesforce;0,05;0,95;C0048;F;29;True;0;15;P031;152,25;152,25;New Balance;Casual;Flex;42;Brown Bear;False
V5316119480;2024-01-24;13:41;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0003;2100;2020-09-04;Salesforce;0,13;0,87;C0262;F;55;True;0;15;P010;152,25;152,25;New Balance;Running;Flex;42;Red Blood;False
V9749055564;2024-01-26;09:54;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0003;2100;2020-09-04;Salesforce;0,13;0,87;C0289;F;42;True;0;13;P035;135,45;135,45;New Balance;Basketball;Zoom;37;Pink;False
V6671883307;2024-01-01;17:53;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0003;2100;2020-09-04;Salesforce;0,13;0,87;C0016;M;37;False;0;0;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V6671883307;2024-01-01;17:53;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0003;2100;2020-09-04;Salesforce;0,13;0,87;C0016;M;37;False;0;0;G030;40,0;40,0;Lunettes;Lunettes;Lunettes;XL;None;False
V1519092463;2024-01-02;10:24;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0001;2000;2022-07-17;Salesforce;0,12;0,88;C0077;F;61;True;0;16;P034;133,95;166,95;New Balance;Basketball;Zoom;39;Premium Black;False
V4821153630;2024-01-30;18:31;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0005;2800;2017-07-01;Salesforce;0,05;0,95;C0081;M;34;False;0;0;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V3244197120;2024-01-29;18:47;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0001;2000;2022-07-17;Salesforce;0,12;0,88;C0248;M;30;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V4590408069;2024-01-05;14:16;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0004;2600;2006-01-09;Manager;0,21;0,79;C0168;M;35;True;0;11;P037;114,45;114,45;New Balance;Running;Elite;41;Premium Black;False
V1747527522;2024-01-03;09:16;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0005;2800;2017-07-01;Salesforce;0,05;0,95;C0055;F;68;True;0;11;P037;114,45;114,45;New Balance;Running;Elite;41;Premium Black;False
V1747527522;2024-01-03;09:16;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0005;2800;2017-07-01;Salesforce;0,05;0,95;C0055;F;68;True;0;11;G037;40,0;40,0;Tee-short;Tee-short;Tee-short;XL;None;False
V6682596246;2024-01-13;12:24;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0217;M;34;True;0;12;P035;128,67999999999998;135,45;New Balance;Basketball;Zoom;37;Pink;False
V2739494234;2024-01-06;16:00;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0001;2000;2022-07-17;Salesforce;0,12;0,88;C0173;M;48;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V4898913737;2024-01-24;16:26;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0135;M;40;True;0;5;P030;59,75;59,75;New Balance;Casual;Elite;30;Sunny Yellow;True
V4898913737;2024-01-24;16:26;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0002;2900;2015-10-11;Salesforce;0,05;0,95;C0135;M;40;True;0;5;G030;10,0;10,0;Bonnet;Bonnet;Bonnet;L;None;False
V3961648444;2024-01-15;16:29;S01;Premium;Centre-ville;50;9h/18h;open 6/7;6;E0005;2800;2017-07-01;Salesforce;0,05;0,95;C0168;M;35;True;0;13;P035;135,45;135,45;New Balance;Basketball;Zoom;37;Pink;False
